"laptop name","price","memory"
"Lenovo LOQ Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...","?99,990","16 GB DDR5 RAM"
"ASUS Chromebook Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0002 / CX...","?13,990","4 GB LPDDR4 RAM"
"ASUS Vivobook 15 Core i3 1115G4 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-E...","?37,990","8 GB DDR4 RAM"
"ASUS Vivobook 15 Core i5 1135G7 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and L...","?47,990","8 GB DDR4 RAM"
"Lenovo V15 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Lapto...","?34,990","8 GB DDR4 RAM"
"HP 247 G8 Athlon Dual Core - (8 GB/1 TB HDD/Windows 11 Home) 247 G8 Notebook Notebook","?23,490","8 GB DDR4 RAM"
"APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A","?81,990","8 GB DDR4 RAM"
"realme Book Prime Core i5 11320H 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Li...","?56,999","16 GB LPDDR4X RAM"
"DELL Inspiron Core i3 1115G4 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Light...","?39,790","8 GB DDR4 RAM"
"Acer Swift 3 Intel EVO Core i5 12500H 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) SF314-71 Thin and ...","?60,990","16 GB LPDDR5 RAM"
"Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphi...","?75,443","16 GB DDR4 RAM"
"Lenovo Ideapad Gaming 3 AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...","?73,990","16 GB DDR4 RAM"
"realme Book (Slim) Core i3 1115G4 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light...","?36,999","14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)"
"Lenovo IdeaPad Slim 3 Intel Core i3 1115G4 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN|81X...","?36,990","8 GB DDR4 RAM"
"HP 15s (2023) Intel Core i5 1155G7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and...","?57,990","16 GB DDR4 RAM"
"MSI Bravo 15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX65...","?61,990","16 GB DDR RAM"
"Lenovo IdeaPad Gaming 3 Intel Core i5 12450H 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...","?67,990","16 GB DDR4 RAM"
"HP Chromebook x360 Intel Celeron Quad Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Ch...","?22,990","4 GB LPDDR4 RAM"
"DELL Inspiron Core i5 1135G7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Ligh...","?55,690","16 GB DDR4 RAM"
"Acer Aspire 7 (2023) Core i5 12450H 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA ...","?54,990","16 GB DDR4 RAM"
"HP Chromebook (2023) Intel Core i5 1135G7 11th Gen - (8 GB/256 GB SSD/Chrome OS) 14c-cc0010TU Chromebo...","?59,990","8 GB DDR4 RAM"
"Lenovo IdeaPad Gaming 3 Intel Core i5 11320H 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...","?59,988","8 GB DDR4 RAM"
"Acer Aspire 7 (2023) Core i5 12450H 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...","?51,990","8 GB DDR4 RAM"
"HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...","?34,990","8 GB DDR4 RAM"
